"day_of_month","total_trip"
"Saturday ","00:14:04"
"Sunday   ","00:13:50"
"Friday   ","00:12:12"
"Thursday ","00:12:00"
"Monday   ","00:11:56"
"Wednesday","00:11:49"
"Tuesday  ","00:11:45"
